id,verify_url
H0CA42209,https://www.fec.gov/data/candidate/H0CA42209/
H0NY28114,https://www.fec.gov/data/candidate/H0NY28114/
H2IL02156,https://www.fec.gov/data/candidate/H2IL02156/
H4DC01041,https://www.fec.gov/data/candidate/H4DC01041/
H6CA14197,https://www.fec.gov/data/candidate/H6CA14197/
H6CA41364,https://www.fec.gov/data/candidate/H6CA41364/
H6CA50274,https://www.fec.gov/data/candidate/H6CA50274/
H6NY03304,https://www.fec.gov/data/candidate/H6NY03304/
H6NY15183,https://www.fec.gov/data/candidate/H6NY15183/
H6NY24201,https://www.fec.gov/data/candidate/H6NY24201/
H6TN08169,https://www.fec.gov/data/candidate/H6TN08169/
H6TX22143,https://www.fec.gov/data/candidate/H6TX22143/
H8CA14193,https://www.fec.gov/data/candidate/H8CA14193/
H8IL09232,https://www.fec.gov/data/candidate/H8IL09232/
H8IL12160,https://www.fec.gov/data/candidate/H8IL12160/
H8MI13292,https://www.fec.gov/data/candidate/H8MI13292/
P00008839,https://www.fec.gov/data/candidate/P00008839/
P40003840,https://www.fec.gov/data/candidate/P40003840/
P40012841,https://www.fec.gov/data/candidate/P40012841/
P60005881,https://www.fec.gov/data/candidate/P60005881/
P60012135,https://www.fec.gov/data/candidate/P60012135/
P60012465,https://www.fec.gov/data/candidate/P60012465/
