ptr_id,year,member,class,source_url
H6FL22248,,"ASKAR, CASEY (H-FL)",,https://www.fec.gov/data/candidate/H6FL22248/
H6FL11340,,"BAKER, CAREY (H-FL)",,https://www.fec.gov/data/candidate/H6FL11340/
H6FL22255,,"BAXTER, SARA (H-FL)",,https://www.fec.gov/data/candidate/H6FL22255/
H6WY01181,,"DODSON, RICHARD (H-WY)",,https://www.fec.gov/data/candidate/H6WY01181/
H6FL24095,,"GILBERT, OLIVER G. III (H-FL)",,https://www.fec.gov/data/candidate/H6FL24095/
H6FL09294,,"GREEN, DAN (H-FL)",,https://www.fec.gov/data/candidate/H6FL09294/
H6MD04381,,"HEDGEPETH, SHAVONNE (H-MD)",,https://www.fec.gov/data/candidate/H6MD04381/
H6FL24087,,"JONES, SHEVRIN (H-FL)",,https://www.fec.gov/data/candidate/H6FL24087/
H6SC02159,,"KHALIFA, ZYON DESHON (H-SC)",,https://www.fec.gov/data/candidate/H6SC02159/
H6SC02167,,"KHALIFA, ZYON DESHON (H-SC)",,https://www.fec.gov/data/candidate/H6SC02167/
H6FL04246,,"SELL, MIKE (H-FL)",,https://www.fec.gov/data/candidate/H6FL04246/
H6CO01349,,"SMITH, AUSTIN JOSEPH HARVEY (H-CO)",,https://www.fec.gov/data/candidate/H6CO01349/
H6FL11332,,"STRADA, JOE (H-FL)",,https://www.fec.gov/data/candidate/H6FL11332/
H6MO04273,,"VERA, SCOTT VINCENT (H-MO)",,https://www.fec.gov/data/candidate/H6MO04273/
