id,verify_url
C00000018,https://www.fec.gov/data/committee/C00000018/
C00000638,https://www.fec.gov/data/committee/C00000638/
C00001347,https://www.fec.gov/data/committee/C00001347/
C00001768,https://www.fec.gov/data/committee/C00001768/
C00001776,https://www.fec.gov/data/committee/C00001776/
C00002600,https://www.fec.gov/data/committee/C00002600/
C00003327,https://www.fec.gov/data/committee/C00003327/
C00003897,https://www.fec.gov/data/committee/C00003897/
C00005041,https://www.fec.gov/data/committee/C00005041/
C00005488,https://www.fec.gov/data/committee/C00005488/
C00005751,https://www.fec.gov/data/committee/C00005751/
C00007666,https://www.fec.gov/data/committee/C00007666/
C00008110,https://www.fec.gov/data/committee/C00008110/
C00009456,https://www.fec.gov/data/committee/C00009456/
C00009795,https://www.fec.gov/data/committee/C00009795/
C00011189,https://www.fec.gov/data/committee/C00011189/
C00011239,https://www.fec.gov/data/committee/C00011239/
C00012518,https://www.fec.gov/data/committee/C00012518/
C00016444,https://www.fec.gov/data/committee/C00016444/
C00017830,https://www.fec.gov/data/committee/C00017830/
C00020974,https://www.fec.gov/data/committee/C00020974/
C00026757,https://www.fec.gov/data/committee/C00026757/
C00033092,https://www.fec.gov/data/committee/C00033092/
C00034934,https://www.fec.gov/data/committee/C00034934/
C00035683,https://www.fec.gov/data/committee/C00035683/
C00037606,https://www.fec.gov/data/committee/C00037606/
C00038612,https://www.fec.gov/data/committee/C00038612/
C00038927,https://www.fec.gov/data/committee/C00038927/
C00038968,https://www.fec.gov/data/committee/C00038968/
C00039164,https://www.fec.gov/data/committee/C00039164/
C00039248,https://www.fec.gov/data/committee/C00039248/
C00040428,https://www.fec.gov/data/committee/C00040428/
C00041947,https://www.fec.gov/data/committee/C00041947/
C00042069,https://www.fec.gov/data/committee/C00042069/
C00043265,https://www.fec.gov/data/committee/C00043265/
C00043992,https://www.fec.gov/data/committee/C00043992/
C00047415,https://www.fec.gov/data/committee/C00047415/
C00048371,https://www.fec.gov/data/committee/C00048371/
C00065987,https://www.fec.gov/data/committee/C00065987/
C00075291,https://www.fec.gov/data/committee/C00075291/
C00077354,https://www.fec.gov/data/committee/C00077354/
C00078261,https://www.fec.gov/data/committee/C00078261/
C00081356,https://www.fec.gov/data/committee/C00081356/
C00082677,https://www.fec.gov/data/committee/C00082677/
C00084145,https://www.fec.gov/data/committee/C00084145/
C00084582,https://www.fec.gov/data/committee/C00084582/
C00086256,https://www.fec.gov/data/committee/C00086256/
C00086348,https://www.fec.gov/data/committee/C00086348/
C00088120,https://www.fec.gov/data/committee/C00088120/
C00088484,https://www.fec.gov/data/committee/C00088484/
C00089540,https://www.fec.gov/data/committee/C00089540/
C00089839,https://www.fec.gov/data/committee/C00089839/
C00091892,https://www.fec.gov/data/committee/C00091892/
C00093195,https://www.fec.gov/data/committee/C00093195/
C00093898,https://www.fec.gov/data/committee/C00093898/
C00094318,https://www.fec.gov/data/committee/C00094318/
C00097238,https://www.fec.gov/data/committee/C00097238/
C00097758,https://www.fec.gov/data/committee/C00097758/
C00099465,https://www.fec.gov/data/committee/C00099465/
C00101410,https://www.fec.gov/data/committee/C00101410/
C00102517,https://www.fec.gov/data/committee/C00102517/
C00103143,https://www.fec.gov/data/committee/C00103143/
C00103572,https://www.fec.gov/data/committee/C00103572/
C00104174,https://www.fec.gov/data/committee/C00104174/
C00104752,https://www.fec.gov/data/committee/C00104752/
C00104885,https://www.fec.gov/data/committee/C00104885/
C00107003,https://www.fec.gov/data/committee/C00107003/
C00108282,https://www.fec.gov/data/committee/C00108282/
C00109116,https://www.fec.gov/data/committee/C00109116/
C00109140,https://www.fec.gov/data/committee/C00109140/
C00109363,https://www.fec.gov/data/committee/C00109363/
C00110197,https://www.fec.gov/data/committee/C00110197/
C00110759,https://www.fec.gov/data/committee/C00110759/
C00111567,https://www.fec.gov/data/committee/C00111567/
C00112599,https://www.fec.gov/data/committee/C00112599/
C00112722,https://www.fec.gov/data/committee/C00112722/
C00112888,https://www.fec.gov/data/committee/C00112888/
C00115667,https://www.fec.gov/data/committee/C00115667/
C00115972,https://www.fec.gov/data/committee/C00115972/
C00117721,https://www.fec.gov/data/committee/C00117721/
C00119040,https://www.fec.gov/data/committee/C00119040/
C00119701,https://www.fec.gov/data/committee/C00119701/
C00120519,https://www.fec.gov/data/committee/C00120519/
C00120683,https://www.fec.gov/data/committee/C00120683/
C00121673,https://www.fec.gov/data/committee/C00121673/
C00122937,https://www.fec.gov/data/committee/C00122937/
C00123513,https://www.fec.gov/data/committee/C00123513/
C00127910,https://www.fec.gov/data/committee/C00127910/
C00128686,https://www.fec.gov/data/committee/C00128686/
C00131615,https://www.fec.gov/data/committee/C00131615/
C00131706,https://www.fec.gov/data/committee/C00131706/
C00135376,https://www.fec.gov/data/committee/C00135376/
C00136531,https://www.fec.gov/data/committee/C00136531/
C00137828,https://www.fec.gov/data/committee/C00137828/
C00138552,https://www.fec.gov/data/committee/C00138552/
C00138701,https://www.fec.gov/data/committee/C00138701/
C00139089,https://www.fec.gov/data/committee/C00139089/
C00139253,https://www.fec.gov/data/committee/C00139253/
C00139741,https://www.fec.gov/data/committee/C00139741/
C00141002,https://www.fec.gov/data/committee/C00141002/
C00141945,https://www.fec.gov/data/committee/C00141945/
C00142000,https://www.fec.gov/data/committee/C00142000/
C00142216,https://www.fec.gov/data/committee/C00142216/
C00142307,https://www.fec.gov/data/committee/C00142307/
C00143305,https://www.fec.gov/data/committee/C00143305/
C00144576,https://www.fec.gov/data/committee/C00144576/
C00144709,https://www.fec.gov/data/committee/C00144709/
C00144824,https://www.fec.gov/data/committee/C00144824/
C00146472,https://www.fec.gov/data/committee/C00146472/
C00146886,https://www.fec.gov/data/committee/C00146886/
C00146969,https://www.fec.gov/data/committee/C00146969/
C00147686,https://www.fec.gov/data/committee/C00147686/
C00147918,https://www.fec.gov/data/committee/C00147918/
C00148155,https://www.fec.gov/data/committee/C00148155/
C00148684,https://www.fec.gov/data/committee/C00148684/
C00148783,https://www.fec.gov/data/committee/C00148783/
C00149732,https://www.fec.gov/data/committee/C00149732/
C00149773,https://www.fec.gov/data/committee/C00149773/
C00150995,https://www.fec.gov/data/committee/C00150995/
C00151282,https://www.fec.gov/data/committee/C00151282/
C00151837,https://www.fec.gov/data/committee/C00151837/
C00152223,https://www.fec.gov/data/committee/C00152223/
C00152843,https://www.fec.gov/data/committee/C00152843/
C00155713,https://www.fec.gov/data/committee/C00155713/
C00155796,https://www.fec.gov/data/committee/C00155796/
C00160473,https://www.fec.gov/data/committee/C00160473/
C00160812,https://www.fec.gov/data/committee/C00160812/
C00160978,https://www.fec.gov/data/committee/C00160978/
C00162198,https://www.fec.gov/data/committee/C00162198/
C00163535,https://www.fec.gov/data/committee/C00163535/
C00164152,https://www.fec.gov/data/committee/C00164152/
C00164228,https://www.fec.gov/data/committee/C00164228/
C00165241,https://www.fec.gov/data/committee/C00165241/
C00165316,https://www.fec.gov/data/committee/C00165316/
C00165514,https://www.fec.gov/data/committee/C00165514/
C00165621,https://www.fec.gov/data/committee/C00165621/
C00165803,https://www.fec.gov/data/committee/C00165803/
C00165852,https://www.fec.gov/data/committee/C00165852/
C00166017,https://www.fec.gov/data/committee/C00166017/
C00166082,https://www.fec.gov/data/committee/C00166082/
C00170944,https://www.fec.gov/data/committee/C00170944/
C00171538,https://www.fec.gov/data/committee/C00171538/
C00172387,https://www.fec.gov/data/committee/C00172387/
C00172601,https://www.fec.gov/data/committee/C00172601/
C00173161,https://www.fec.gov/data/committee/C00173161/
C00173344,https://www.fec.gov/data/committee/C00173344/
C00173369,https://www.fec.gov/data/committee/C00173369/
C00173419,https://www.fec.gov/data/committee/C00173419/
C00181206,https://www.fec.gov/data/committee/C00181206/
C00181826,https://www.fec.gov/data/committee/C00181826/
C00183434,https://www.fec.gov/data/committee/C00183434/
C00184143,https://www.fec.gov/data/committee/C00184143/
C00188888,https://www.fec.gov/data/committee/C00188888/
C00190652,https://www.fec.gov/data/committee/C00190652/
C00191213,https://www.fec.gov/data/committee/C00191213/
C00191387,https://www.fec.gov/data/committee/C00191387/
C00191478,https://www.fec.gov/data/committee/C00191478/
C00192302,https://www.fec.gov/data/committee/C00192302/
C00193680,https://www.fec.gov/data/committee/C00193680/
C00194191,https://www.fec.gov/data/committee/C00194191/
C00194225,https://www.fec.gov/data/committee/C00194225/
C00195065,https://www.fec.gov/data/committee/C00195065/
C00195263,https://www.fec.gov/data/committee/C00195263/
C00195586,https://www.fec.gov/data/committee/C00195586/
C00195701,https://www.fec.gov/data/committee/C00195701/
C00196824,https://www.fec.gov/data/committee/C00196824/
C00197152,https://www.fec.gov/data/committee/C00197152/
C00197244,https://www.fec.gov/data/committee/C00197244/
C00199273,https://www.fec.gov/data/committee/C00199273/
C00199471,https://www.fec.gov/data/committee/C00199471/
C00199950,https://www.fec.gov/data/committee/C00199950/
C00200642,https://www.fec.gov/data/committee/C00200642/
C00200907,https://www.fec.gov/data/committee/C00200907/
C00201293,https://www.fec.gov/data/committee/C00201293/
C00202861,https://www.fec.gov/data/committee/C00202861/
C00203521,https://www.fec.gov/data/committee/C00203521/
C00210559,https://www.fec.gov/data/committee/C00210559/
C00212035,https://www.fec.gov/data/committee/C00212035/
C00212308,https://www.fec.gov/data/committee/C00212308/
C00213611,https://www.fec.gov/data/committee/C00213611/
C00214635,https://www.fec.gov/data/committee/C00214635/
C00214965,https://www.fec.gov/data/committee/C00214965/
C00215236,https://www.fec.gov/data/committee/C00215236/
C00216341,https://www.fec.gov/data/committee/C00216341/
C00218172,https://www.fec.gov/data/committee/C00218172/
C00219717,https://www.fec.gov/data/committee/C00219717/
C00223230,https://www.fec.gov/data/committee/C00223230/
C00224808,https://www.fec.gov/data/committee/C00224808/
C00225045,https://www.fec.gov/data/committee/C00225045/
C00225623,https://www.fec.gov/data/committee/C00225623/
C00226712,https://www.fec.gov/data/committee/C00226712/
C00228122,https://www.fec.gov/data/committee/C00228122/
C00228247,https://www.fec.gov/data/committee/C00228247/
C00229203,https://www.fec.gov/data/committee/C00229203/
C00229534,https://www.fec.gov/data/committee/C00229534/
C00230789,https://www.fec.gov/data/committee/C00230789/
C00231092,https://www.fec.gov/data/committee/C00231092/
C00231233,https://www.fec.gov/data/committee/C00231233/
C00231951,https://www.fec.gov/data/committee/C00231951/
C00232611,https://www.fec.gov/data/committee/C00232611/
C00234245,https://www.fec.gov/data/committee/C00234245/
C00234641,https://www.fec.gov/data/committee/C00234641/
C00235309,https://www.fec.gov/data/committee/C00235309/
C00235861,https://www.fec.gov/data/committee/C00235861/
C00236596,https://www.fec.gov/data/committee/C00236596/
C00237198,https://www.fec.gov/data/committee/C00237198/
C00239285,https://www.fec.gov/data/committee/C00239285/
C00239939,https://www.fec.gov/data/committee/C00239939/
C00240069,https://www.fec.gov/data/committee/C00240069/
C00240226,https://www.fec.gov/data/committee/C00240226/
C00241398,https://www.fec.gov/data/committee/C00241398/
C00242271,https://www.fec.gov/data/committee/C00242271/
C00242370,https://www.fec.gov/data/committee/C00242370/
C00243444,https://www.fec.gov/data/committee/C00243444/
C00244657,https://www.fec.gov/data/committee/C00244657/
C00245720,https://www.fec.gov/data/committee/C00245720/
C00245837,https://www.fec.gov/data/committee/C00245837/
C00246348,https://www.fec.gov/data/committee/C00246348/
C00246827,https://www.fec.gov/data/committee/C00246827/
C00247494,https://www.fec.gov/data/committee/C00247494/
C00247890,https://www.fec.gov/data/committee/C00247890/
C00248195,https://www.fec.gov/data/committee/C00248195/
C00249250,https://www.fec.gov/data/committee/C00249250/
C00249896,https://www.fec.gov/data/committee/C00249896/
C00250209,https://www.fec.gov/data/committee/C00250209/
C00250555,https://www.fec.gov/data/committee/C00250555/
C00250589,https://www.fec.gov/data/committee/C00250589/
C00250720,https://www.fec.gov/data/committee/C00250720/
C00251348,https://www.fec.gov/data/committee/C00251348/
C00251843,https://www.fec.gov/data/committee/C00251843/
C00252791,https://www.fec.gov/data/committee/C00252791/
C00253906,https://www.fec.gov/data/committee/C00253906/
C00254441,https://www.fec.gov/data/committee/C00254441/
C00254581,https://www.fec.gov/data/committee/C00254581/
C00255190,https://www.fec.gov/data/committee/C00255190/
C00255224,https://www.fec.gov/data/committee/C00255224/
C00255257,https://www.fec.gov/data/committee/C00255257/
C00255406,https://www.fec.gov/data/committee/C00255406/
C00255950,https://www.fec.gov/data/committee/C00255950/
C00256313,https://www.fec.gov/data/committee/C00256313/
C00256354,https://www.fec.gov/data/committee/C00256354/
C00257915,https://www.fec.gov/data/committee/C00257915/
C00258525,https://www.fec.gov/data/committee/C00258525/
C00259374,https://www.fec.gov/data/committee/C00259374/
C00260141,https://www.fec.gov/data/committee/C00260141/
C00260547,https://www.fec.gov/data/committee/C00260547/
