ptr_id,year,member,class,source_url
C00952812,,AFFORDABLE FLORIDA (O),,https://www.fec.gov/data/committee/C00952812/
C00952796,,AUSTIN JOSEPH HARVEY SMITH (X),,https://www.fec.gov/data/committee/C00952796/
C00952911,,BLUE ATHLETICS / SHABAZZ-BLUE AND COMPANY COMMITTEE (U),,https://www.fec.gov/data/committee/C00952911/
C00952804,,CONSTITUTIONAL CONSERVATIVE PAC (O),,https://www.fec.gov/data/committee/C00952804/
C00952853,,DSCC VICTORY FUND (N),,https://www.fec.gov/data/committee/C00952853/
C00952820,,FAITH IN POLICY SUPER PAC (O),,https://www.fec.gov/data/committee/C00952820/
C00952887,,FMG SWVA (N),,https://www.fec.gov/data/committee/C00952887/
C00952838,,FRIENDS OF THE COLONEL (O),,https://www.fec.gov/data/committee/C00952838/
C00952861,,JILLIAN FOR FLORIDA (H),,https://www.fec.gov/data/committee/C00952861/
C00952895,,MY BIRTHDATE JUNE 19TH HUSSLE COMMITTEE (X),,https://www.fec.gov/data/committee/C00952895/
C00952903,,NONE (U),,https://www.fec.gov/data/committee/C00952903/
C00952846,,SARA BAXTER FOR CONGRESS (H),,https://www.fec.gov/data/committee/C00952846/
C00952879,,VIRGINAI CLINTON KELLY DEMOCRATIC WOMEN (N),,https://www.fec.gov/data/committee/C00952879/
