ptr_id,year,member,class,source_url
2015-33258,2016,Prohibition Against Certain Flights in Specified Areas of th (Rule),,https://www.federalregister.gov/documents/2016/01/07/2015-33258/prohibition-against-certain-flights-in-specified-areas-of-the-sanaa-oysc-flight-information-region
2016-00044,2016,Establishing the Form and Manner With Which Security-Based S (Proposed Rule),,https://www.federalregister.gov/documents/2016/01/07/2016-00044/establishing-the-form-and-manner-with-which-security-based-swap-data-repositories-must-make
2016-00079,2016,Potassium Permanganate From the People's Republic of China:  (Notice),,https://www.federalregister.gov/documents/2016/01/07/2016-00079/potassium-permanganate-from-the-peoples-republic-of-china-final-results-of-expedited-fourth-sunset
2016-00026,2016,New England Fishery Management Council; Public Meeting (Notice),,https://www.federalregister.gov/documents/2016/01/07/2016-00026/new-england-fishery-management-council-public-meeting
2016-00031,2016,Takes of Marine Mammals Incidental to Specified Activities;  (Notice),,https://www.federalregister.gov/documents/2016/01/07/2016-00031/takes-of-marine-mammals-incidental-to-specified-activities-taking-marine-mammals-incidental-to
2016-00018,2016,Interagency Working Group on the Harmful Algal Bloom and Hyp (Notice),,https://www.federalregister.gov/documents/2016/01/07/2016-00018/interagency-working-group-on-the-harmful-algal-bloom-and-hypoxia-research-and-control-amendments-act
2016-00058,2016,Agency Information Collection Activities Under OMB Review (Notice),,https://www.federalregister.gov/documents/2016/01/07/2016-00058/agency-information-collection-activities-under-omb-review
2016-00042,2016,Public Meetings and Public Hearings Related to the Draft Env (Notice),,https://www.federalregister.gov/documents/2016/01/07/2016-00042/public-meetings-and-public-hearings-related-to-the-draft-environmental-impact-statement-for-the
2016-00082,2016,Agency Information Collection Activities: Application for Tr (Notice),,https://www.federalregister.gov/documents/2016/01/07/2016-00082/agency-information-collection-activities-application-for-travel-document-form-i-131-revision-of-a
2016-00067,2016,Notice of Inventory Completion: U.S. Department of the Inter (Notice),,https://www.federalregister.gov/documents/2016/01/07/2016-00067/notice-of-inventory-completion-us-department-of-the-interior-bureau-of-indian-affairs-washington-dc
2016-00057,2016,Notice of Inventory Completion: Peabody Museum of Natural Hi (Notice),,https://www.federalregister.gov/documents/2016/01/07/2016-00057/notice-of-inventory-completion-peabody-museum-of-natural-history-yale-university-new-haven-ct
2016-00056,2016,Notice of Inventory Completion: Department of Anthropology a (Notice),,https://www.federalregister.gov/documents/2016/01/07/2016-00056/notice-of-inventory-completion-department-of-anthropology-at-indiana-university-bloomington-in
2016-00030,2016,Notice of Permit Applications Received Under the Antarctic C (Notice),,https://www.federalregister.gov/documents/2016/01/07/2016-00030/notice-of-permit-applications-received-under-the-antarctic-conservation-act-of-1978
2016-00049,2016,New Postal Product (Notice),,https://www.federalregister.gov/documents/2016/01/07/2016-00049/new-postal-product
2015-33310,2016,Self-Regulatory Organizations; The Depository Trust Company; (Notice),,https://www.federalregister.gov/documents/2016/01/07/2015-33310/self-regulatory-organizations-the-depository-trust-company-notice-of-filing-and-immediate
2015-33215,2016,Submission for OMB Review; Comment Request (Notice),,https://www.federalregister.gov/documents/2016/01/07/2015-33215/submission-for-omb-review-comment-request
