ptr_id,year,member,class,source_url
0001013857-26-000039,2026,PEGASYSTEMS INC (8-K),,https://www.sec.gov/Archives/edgar/data/1013857/000101385726000039/0001013857-26-000039-index.htm
0001193125-26-261769,2026,ATI INC (8-K),,https://www.sec.gov/Archives/edgar/data/1018963/000119312526261769/0001193125-26-261769-index.htm
0001193125-26-261794,2026,CERUS CORP (8-K),,https://www.sec.gov/Archives/edgar/data/1020214/000119312526261794/0001193125-26-261794-index.htm
0001026655-26-000041,2026,CORE MOLDING TECHNOLOGIES INC (8-K),,https://www.sec.gov/Archives/edgar/data/1026655/000102665526000041/0001026655-26-000041-index.htm
0001104659-26-071411,2026,FEDEX CORP (8-K),,https://www.sec.gov/Archives/edgar/data/1048911/000110465926071411/0001104659-26-071411-index.htm
0001193125-26-261840,2026,Greystone Housing Impact Investors LP (8-K),,https://www.sec.gov/Archives/edgar/data/1059142/000119312526261840/0001193125-26-261840-index.htm
0001193125-26-261987,2026,GARMIN LTD (8-K),,https://www.sec.gov/Archives/edgar/data/1121788/000119312526261987/0001193125-26-261987-index.htm
0001104659-26-071364,2026,"CAPRICOR THERAPEUTICS, INC. (8-K)",,https://www.sec.gov/Archives/edgar/data/1133869/000110465926071364/0001104659-26-071364-index.htm
0001193125-26-261669,2026,Mastercard Inc (8-K),,https://www.sec.gov/Archives/edgar/data/1141391/000119312526261669/0001193125-26-261669-index.htm
0001193125-26-261770,2026,Savara Inc (8-K),,https://www.sec.gov/Archives/edgar/data/1160308/000119312526261770/0001193125-26-261770-index.htm
0001170010-26-000051,2026,CARMAX INC (8-K),,https://www.sec.gov/Archives/edgar/data/1170010/000117001026000051/0001170010-26-000051-index.htm
0001193125-26-261766,2026,FIRST ADVANTAGE CORP (8-K),,https://www.sec.gov/Archives/edgar/data/1210677/000119312526261766/0001193125-26-261766-index.htm
0001185185-26-002410,2026,"IGC Pharma, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1326205/000118518526002410/0001185185-26-002410-index.htm
0001140361-26-024450,2026,"CarParts.com, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1378950/000114036126024450/0001140361-26-024450-index.htm
0001193125-26-261658,2026,"SUTRO BIOPHARMA, INC. (8-K)",,https://www.sec.gov/Archives/edgar/data/1382101/000119312526261658/0001193125-26-261658-index.htm
0001104659-26-071409,2026,FS KKR Capital Corp (8-K),,https://www.sec.gov/Archives/edgar/data/1422183/000110465926071409/0001104659-26-071409-index.htm
0001104659-26-071412,2026,"Alarm.com Holdings, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1459200/000110465926071412/0001104659-26-071412-index.htm
0001104659-26-071421,2026,Metropolitan Bank Holding Corp. (8-K),,https://www.sec.gov/Archives/edgar/data/1476034/000110465926071421/0001104659-26-071421-index.htm
0001193125-26-261965,2026,NeuroPace Inc (8-K),,https://www.sec.gov/Archives/edgar/data/1528287/000119312526261965/0001193125-26-261965-index.htm
0001193125-26-261692,2026,VINCE HOLDING CORP. (8-K),,https://www.sec.gov/Archives/edgar/data/1579157/000119312526261692/0001193125-26-261692-index.htm
0001193125-26-261809,2026,PERRIGO Co plc (8-K),,https://www.sec.gov/Archives/edgar/data/1585364/000119312526261809/0001193125-26-261809-index.htm
0001104659-26-071442,2026,"Knightscope, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1600983/000110465926071442/0001104659-26-071442-index.htm
0001104659-26-071370,2026,"Senseonics Holdings, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1616543/000110465926071370/0001104659-26-071370-index.htm
0001104659-26-071382,2026,"Babcock & Wilcox Enterprises, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1630805/000110465926071382/0001104659-26-071382-index.htm
0001193125-26-262099,2026,Kraft Heinz Co (8-K),,https://www.sec.gov/Archives/edgar/data/1637459/000119312526262099/0001193125-26-262099-index.htm
0001104659-26-071358,2026,MetaVia Inc. (8-K),,https://www.sec.gov/Archives/edgar/data/1638287/000110465926071358/0001104659-26-071358-index.htm
0001193125-26-261847,2026,DULUTH HOLDINGS INC. (8-K),,https://www.sec.gov/Archives/edgar/data/1649744/000119312526261847/0001193125-26-261847-index.htm
0001193125-26-261839,2026,"Four Corners Property Trust, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1650132/000119312526261839/0001193125-26-261839-index.htm
0001193125-26-261663,2026,"Red Rock Resorts, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1653653/000119312526261663/0001193125-26-261663-index.htm
0001193125-26-262002,2026,Great Elm Capital Corp. (8-K),,https://www.sec.gov/Archives/edgar/data/1675033/000119312526262002/0001193125-26-262002-index.htm
0001193125-26-261693,2026,Beam Therapeutics Inc. (8-K),,https://www.sec.gov/Archives/edgar/data/1745999/000119312526261693/0001193125-26-261693-index.htm
0001193125-26-261716,2026,"Climb Bio, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1768446/000119312526261716/0001193125-26-261716-index.htm
0001213900-26-066336,2026,Triller Group Inc. (8-K),,https://www.sec.gov/Archives/edgar/data/1769624/000121390026066336/0001213900-26-066336-index.htm
0000950103-26-008665,2026,"Katapult Holdings, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1785424/000095010326008665/0000950103-26-008665-index.htm
0001193125-26-261956,2026,INTERNATIONAL BATTERY METALS LTD. (8-K),,https://www.sec.gov/Archives/edgar/data/1786318/000119312526261956/0001193125-26-261956-index.htm
0001193125-26-261698,2026,"Kymera Therapeutics, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1815442/000119312526261698/0001193125-26-261698-index.htm
0001193125-26-261661,2026,Vor Biopharma Inc. (8-K),,https://www.sec.gov/Archives/edgar/data/1817229/000119312526261661/0001193125-26-261661-index.htm
0001193125-26-261696,2026,"Dyne Therapeutics, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1818794/000119312526261696/0001193125-26-261696-index.htm
0001104659-26-071407,2026,Liquidia Corp (8-K),,https://www.sec.gov/Archives/edgar/data/1819576/000110465926071407/0001104659-26-071407-index.htm
0001193125-26-261986,2026,ARKO Corp. (8-K),,https://www.sec.gov/Archives/edgar/data/1823794/000119312526261986/0001193125-26-261986-index.htm
0001193125-26-261941,2026,Palladyne AI Corp. (8-K),,https://www.sec.gov/Archives/edgar/data/1826681/000119312526261941/0001193125-26-261941-index.htm
0001193125-26-261767,2026,Bumble Inc. (8-K),,https://www.sec.gov/Archives/edgar/data/1830043/000119312526261767/0001193125-26-261767-index.htm
0001193125-26-261846,2026,"Paymentus Holdings, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1841156/000119312526261846/0001193125-26-261846-index.htm
0001104659-26-071383,2026,"Century Therapeutics, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1850119/000110465926071383/0001104659-26-071383-index.htm
0001104659-26-071372,2026,FG Merger II Corp. (8-K),,https://www.sec.gov/Archives/edgar/data/1906364/000110465926071372/0001104659-26-071372-index.htm
0001193125-26-261971,2026,Madison Square Garden Entertainment Corp. (8-K),,https://www.sec.gov/Archives/edgar/data/1952073/000119312526261971/0001193125-26-261971-index.htm
0001193125-26-261670,2026,"CG Oncology, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1991792/000119312526261670/0001193125-26-261670-index.htm
0001193125-26-261955,2026,West Bay BDC LLC (8-K),,https://www.sec.gov/Archives/edgar/data/2020354/000119312526261955/0001193125-26-261955-index.htm
0001104659-26-071368,2026,"Jefferson Capital, Inc. / DE (8-K)",,https://www.sec.gov/Archives/edgar/data/2046042/000110465926071368/0001104659-26-071368-index.htm
0001104659-26-071441,2026,Elite Express Holding Inc. (8-K),,https://www.sec.gov/Archives/edgar/data/2053641/000110465926071441/0001104659-26-071441-index.htm
0001104659-26-071408,2026,Spring Valley Acquisition Corp. III (8-K),,https://www.sec.gov/Archives/edgar/data/2074850/000110465926071408/0001104659-26-071408-index.htm
0001140361-26-024474,2026,AtaiBeckley Inc. (8-K),,https://www.sec.gov/Archives/edgar/data/2081043/000114036126024474/0001140361-26-024474-index.htm
0001193125-26-261758,2026,HUBBELL INC (8-K),,https://www.sec.gov/Archives/edgar/data/48898/000119312526261758/0001193125-26-261758-index.htm
0000049196-26-000050,2026,HUNTINGTON BANCSHARES INC /MD/ (8-K),,https://www.sec.gov/Archives/edgar/data/49196/000004919626000050/0000049196-26-000050-index.htm
0001193125-26-261680,2026,AMERICAN VANGUARD CORP (8-K),,https://www.sec.gov/Archives/edgar/data/5981/000119312526261680/0001193125-26-261680-index.htm
0000070866-26-000023,2026,NCR Voyix Corp (8-K),,https://www.sec.gov/Archives/edgar/data/70866/000007086626000023/0000070866-26-000023-index.htm
0001062993-26-003106,2026,THUNDER MOUNTAIN GOLD INC (8-K),,https://www.sec.gov/Archives/edgar/data/711034/000106299326003106/0001062993-26-003106-index.htm
0001140361-26-024465,2026,CASEYS GENERAL STORES INC (8-K),,https://www.sec.gov/Archives/edgar/data/726958/000114036126024465/0001140361-26-024465-index.htm
0000764622-26-000031,2026,ARIZONA PUBLIC SERVICE CO (8-K),,https://www.sec.gov/Archives/edgar/data/7286/000076462226000031/0000764622-26-000031-index.htm
0000785786-26-000038,2026,PLEXUS CORP (8-K),,https://www.sec.gov/Archives/edgar/data/785786/000078578626000038/0000785786-26-000038-index.htm
0001185185-26-002408,2026,"Mitesco, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/802257/000118518526002408/0001185185-26-002408-index.htm
0000812011-26-000025,2026,VAIL RESORTS INC (8-K),,https://www.sec.gov/Archives/edgar/data/812011/000081201126000025/0000812011-26-000025-index.htm
0000824142-26-000044,2026,"AAON, INC. (8-K)",,https://www.sec.gov/Archives/edgar/data/824142/000082414226000044/0000824142-26-000044-index.htm
0000832988-26-000161,2026,SIGNET JEWELERS LTD (8-K),,https://www.sec.gov/Archives/edgar/data/832988/000083298826000161/0000832988-26-000161-index.htm
0000845877-26-000116,2026,FEDERAL AGRICULTURAL MORTGAGE CORP (8-K),,https://www.sec.gov/Archives/edgar/data/845877/000084587726000116/0000845877-26-000116-index.htm
0001193125-26-261984,2026,HARMONIC INC. (8-K),,https://www.sec.gov/Archives/edgar/data/851310/000119312526261984/0001193125-26-261984-index.htm
0001193125-26-261721,2026,BENCHMARK ELECTRONICS INC (8-K),,https://www.sec.gov/Archives/edgar/data/863436/000119312526261721/0001193125-26-261721-index.htm
0000088941-26-000019,2026,SEMTECH CORP (8-K),,https://www.sec.gov/Archives/edgar/data/88941/000008894126000019/0000088941-26-000019-index.htm
0000893847-26-000076,2026,"HAWTHORN BANCSHARES, INC. (8-K)",,https://www.sec.gov/Archives/edgar/data/893847/000089384726000076/0000893847-26-000076-index.htm
0001104659-26-071384,2026,INNODATA INC (8-K),,https://www.sec.gov/Archives/edgar/data/903651/000110465926071384/0001104659-26-071384-index.htm
0001193125-26-261709,2026,EQUITY RESIDENTIAL (8-K),,https://www.sec.gov/Archives/edgar/data/906107/000119312526261709/0001193125-26-261709-index.htm
0000911177-26-000033,2026,CASELLA WASTE SYSTEMS INC (8-K),,https://www.sec.gov/Archives/edgar/data/911177/000091117726000033/0000911177-26-000033-index.htm
0001104659-26-071367,2026,AVALONBAY COMMUNITIES INC (8-K),,https://www.sec.gov/Archives/edgar/data/915912/000110465926071367/0001104659-26-071367-index.htm
0000092230-26-000066,2026,TRUIST FINANCIAL CORP (8-K),,https://www.sec.gov/Archives/edgar/data/92230/000009223026000066/0000092230-26-000066-index.htm
0000927628-26-000062,2026,CAPITAL ONE FINANCIAL CORP (8-K),,https://www.sec.gov/Archives/edgar/data/927628/000092762826000062/0000927628-26-000062-index.htm
0001005286-26-000023,2026,"LIFECORE BIOMEDICAL, INC. \DE\ (8-K)",,https://www.sec.gov/Archives/edgar/data/1005286/000100528626000023/0001005286-26-000023-index.htm
0001026655-26-000039,2026,CORE MOLDING TECHNOLOGIES INC (8-K),,https://www.sec.gov/Archives/edgar/data/1026655/000102665526000039/0001026655-26-000039-index.htm
0000104169-26-000111,2026,Walmart Inc. (8-K),,https://www.sec.gov/Archives/edgar/data/104169/000010416926000111/0000104169-26-000111-index.htm
0001044777-26-000034,2026,OneSpan Inc. (8-K),,https://www.sec.gov/Archives/edgar/data/1044777/000104477726000034/0001044777-26-000034-index.htm
0001065280-26-000189,2026,NETFLIX INC (8-K),,https://www.sec.gov/Archives/edgar/data/1065280/000106528026000189/0001065280-26-000189-index.htm
0001104659-26-071040,2026,"PTC THERAPEUTICS, INC. (8-K)",,https://www.sec.gov/Archives/edgar/data/1070081/000110465926071040/0001104659-26-071040-index.htm
0001193125-26-259584,2026,"Woodward, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/108312/000119312526259584/0001193125-26-259584-index.htm
0001193125-26-259922,2026,DEVON ENERGY CORP/DE (8-K),,https://www.sec.gov/Archives/edgar/data/1090012/000119312526259922/0001193125-26-259922-index.htm
0001193125-26-259703,2026,"PLUS THERAPEUTICS, INC. (8-K)",,https://www.sec.gov/Archives/edgar/data/1095981/000119312526259703/0001193125-26-259703-index.htm
0001193125-26-259809,2026,FLOWERS FOODS INC (8-K),,https://www.sec.gov/Archives/edgar/data/1128928/000119312526259809/0001193125-26-259809-index.htm
0001193125-26-259535,2026,GLADSTONE CAPITAL CORP (8-K),,https://www.sec.gov/Archives/edgar/data/1143513/000119312526259535/0001193125-26-259535-index.htm
0000011544-26-000013,2026,BERKLEY W R CORP (8-K),,https://www.sec.gov/Archives/edgar/data/11544/000001154426000013/0000011544-26-000013-index.htm
0001193125-26-259877,2026,STANDARD BIOTOOLS INC. (8-K),,https://www.sec.gov/Archives/edgar/data/1162194/000119312526259877/0001193125-26-259877-index.htm
0001140361-26-024289,2026,Prairie Operating Co. (8-K),,https://www.sec.gov/Archives/edgar/data/1162896/000114036126024289/0001140361-26-024289-index.htm
0001104659-26-070958,2026,NABORS INDUSTRIES LTD (8-K),,https://www.sec.gov/Archives/edgar/data/1163739/000110465926070958/0001104659-26-070958-index.htm
0001193125-26-259521,2026,"Builders FirstSource, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1316835/000119312526259521/0001193125-26-259521-index.htm
0001193125-26-259974,2026,Invesco DB Commodity Index Tracking Fund (8-K),,https://www.sec.gov/Archives/edgar/data/1328237/000119312526259974/0001193125-26-259974-index.htm
0001140361-26-024265,2026,FEMASYS INC (8-K),,https://www.sec.gov/Archives/edgar/data/1339005/000114036126024265/0001140361-26-024265-index.htm
0001193125-26-259978,2026,Invesco CurrencyShares British Pound Sterling Trust (8-K),,https://www.sec.gov/Archives/edgar/data/1353611/000119312526259978/0001193125-26-259978-index.htm
0001193125-26-259975,2026,Invesco CurrencyShares Japanese Yen Trust (8-K),,https://www.sec.gov/Archives/edgar/data/1353613/000119312526259975/0001193125-26-259975-index.htm
0001193125-26-259977,2026,Invesco CurrencyShares Australian Dollar Trust (8-K),,https://www.sec.gov/Archives/edgar/data/1353614/000119312526259977/0001193125-26-259977-index.htm
0001376139-26-000032,2026,CVR ENERGY INC (8-K),,https://www.sec.gov/Archives/edgar/data/1376139/000137613926000032/0001376139-26-000032-index.htm
0001437749-26-019758,2026,Star Gold Corp. (8-K),,https://www.sec.gov/Archives/edgar/data/1401835/000143774926019758/0001437749-26-019758-index.htm
0001185185-26-002368,2026,"RTB Digital, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1419275/000118518526002368/0001185185-26-002368-index.htm
0001193125-26-259481,2026,"ASSEMBLY BIOSCIENCES, INC. (8-K)",,https://www.sec.gov/Archives/edgar/data/1426800/000119312526259481/0001193125-26-259481-index.htm
0001140361-26-024269,2026,"Grace Therapeutics, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1444192/000114036126024269/0001140361-26-024269-index.htm
0001213900-26-065810,2026,OptimizeRx Corp (8-K),,https://www.sec.gov/Archives/edgar/data/1448431/000121390026065810/0001213900-26-065810-index.htm
0001079973-26-000789,2026,"BASANITE, INC. (8-K)",,https://www.sec.gov/Archives/edgar/data/1448705/000107997326000789/0001079973-26-000789-index.htm
0001193125-26-259527,2026,"Outset Medical, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1484612/000119312526259527/0001193125-26-259527-index.htm
0001079973-26-000791,2026,"Lifeloc Technologies, Inc (8-K)",,https://www.sec.gov/Archives/edgar/data/1493137/000107997326000791/0001079973-26-000791-index.htm
0001193125-26-259540,2026,"Block, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1512673/000119312526259540/0001193125-26-259540-index.htm
0001193125-26-259546,2026,"Sight Sciences, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1531177/000119312526259546/0001193125-26-259546-index.htm
0001104659-26-071005,2026,Ladder Capital Corp (8-K),,https://www.sec.gov/Archives/edgar/data/1577670/000110465926071005/0001104659-26-071005-index.htm
0001193125-26-259868,2026,Synchrony Financial (8-K),,https://www.sec.gov/Archives/edgar/data/1601712/000119312526259868/0001193125-26-259868-index.htm
0001193125-26-259874,2026,"PROCORE TECHNOLOGIES, INC. (8-K)",,https://www.sec.gov/Archives/edgar/data/1611052/000119312526259874/0001193125-26-259874-index.htm
0001193125-26-259488,2026,DBV Technologies S.A. (8-K),,https://www.sec.gov/Archives/edgar/data/1613780/000119312526259488/0001193125-26-259488-index.htm
0001213900-26-065924,2026,CaliberCos Inc. (8-K),,https://www.sec.gov/Archives/edgar/data/1627282/000121390026065924/0001213900-26-065924-index.htm
0001193125-26-259856,2026,"EverQuote, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1640428/000119312526259856/0001193125-26-259856-index.htm
0001213900-26-065816,2026,"Purple Innovation, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1643953/000121390026065816/0001213900-26-065816-index.htm
0001193125-26-259830,2026,Alphabet Inc. (8-K),,https://www.sec.gov/Archives/edgar/data/1652044/000119312526259830/0001193125-26-259830-index.htm
0001193125-26-259858,2026,"Cantor Fitzgerald Income Trust, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1666244/000119312526259858/0001193125-26-259858-index.htm
0001193125-26-259579,2026,"Claros Mortgage Trust, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1666291/000119312526259579/0001193125-26-259579-index.htm
0001104659-26-071001,2026,"HYPERION DEFI, INC. (8-K)",,https://www.sec.gov/Archives/edgar/data/1682639/000110465926071001/0001104659-26-071001-index.htm
0001193125-26-259857,2026,Cars.com Inc. (8-K),,https://www.sec.gov/Archives/edgar/data/1683606/000119312526259857/0001193125-26-259857-index.htm
0001193125-26-259645,2026,"J.Jill, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1687932/000119312526259645/0001193125-26-259645-index.htm
0001104659-26-070983,2026,Granite Point Mortgage Trust Inc. (8-K),,https://www.sec.gov/Archives/edgar/data/1703644/000110465926070983/0001104659-26-070983-index.htm
0001140361-26-024261,2026,Cenntro Inc. (8-K),,https://www.sec.gov/Archives/edgar/data/1707919/000114036126024261/0001140361-26-024261-index.htm
0001104659-26-070981,2026,Ribbon Communications Inc. (8-K),,https://www.sec.gov/Archives/edgar/data/1708055/000110465926070981/0001104659-26-070981-index.htm
0001104659-26-071011,2026,"Edgewise Therapeutics, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1710072/000110465926071011/0001104659-26-071011-index.htm
0001193125-26-259851,2026,"Red Violet, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1720116/000119312526259851/0001193125-26-259851-index.htm
0001213900-26-065788,2026,Longeveron Inc. (8-K),,https://www.sec.gov/Archives/edgar/data/1721484/000121390026065788/0001213900-26-065788-index.htm
0001213900-26-065847,2026,"Aditxt, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1726711/000121390026065847/0001213900-26-065847-index.htm
0001213900-26-065850,2026,BiomX Inc. (8-K),,https://www.sec.gov/Archives/edgar/data/1739174/000121390026065850/0001213900-26-065850-index.htm
0001193125-26-259486,2026,"RESIDEO TECHNOLOGIES, INC. (8-K)",,https://www.sec.gov/Archives/edgar/data/1740332/000119312526259486/0001193125-26-259486-index.htm
0001213900-26-065828,2026,"Unicycive Therapeutics, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1766140/000121390026065828/0001213900-26-065828-index.htm
0001193805-26-000770,2026,Arcturus Therapeutics Holdings Inc. (8-K),,https://www.sec.gov/Archives/edgar/data/1768224/000119380526000770/0001193805-26-000770-index.htm
0001193125-26-259532,2026,"Sana Biotechnology, Inc. (8-K)",,https://www.sec.gov/Archives/edgar/data/1770121/000119312526259532/0001193125-26-259532-index.htm
0001104659-26-070974,2026,Westrock Coffee Co (8-K),,https://www.sec.gov/Archives/edgar/data/1806347/000110465926070974/0001104659-26-070974-index.htm
