ptr_id,year,member,class,source_url
0001567619-22-021366,2020,Just Eat Takeaway.com N.V. (D),,https://www.sec.gov/Archives/edgar/data/1792627/000156761922021366/0001567619-22-021366-index.htm
0001354457-20-000291,2020,The Nasdaq Stock Market LLC (D/A),,https://www.sec.gov/Archives/edgar/data/1354457/000135445720000291/0001354457-20-000291-index.htm
0001812223-21-000002,2021,"Hummer Winblad Venture Partners VIII, L.P. (D/A)",,https://www.sec.gov/Archives/edgar/data/1812223/000181222321000002/0001812223-21-000002-index.htm
0001812603-21-000003,2021,"Darwin Global Fund, LP (D/A)",,https://www.sec.gov/Archives/edgar/data/1812603/000181260321000003/0001812603-21-000003-index.htm
0001812603-21-000004,2021,"Darwin Global Fund, LP (D/A)",,https://www.sec.gov/Archives/edgar/data/1812603/000181260321000004/0001812603-21-000004-index.htm
0001521373-22-000003,2022,FAC PROPERTYS LLC (D),,https://www.sec.gov/Archives/edgar/data/1521373/000152137322000003/0001521373-22-000003-index.htm
0000902664-24-001917,2024,Marshall Wace Funds LP - MW TOPS (US) Fund (D/A),,https://www.sec.gov/Archives/edgar/data/1619661/000090266424001917/0000902664-24-001917-index.htm
0001104659-25-086820,2024,Breakout Trading Group LLC (D),,https://www.sec.gov/Archives/edgar/data/2029382/000110465925086820/0001104659-25-086820-index.htm
0002047265-26-000002,2024,"KHK Games, Inc. (D)",,https://www.sec.gov/Archives/edgar/data/2047265/000204726526000002/0002047265-26-000002-index.htm
0001493152-26-018315,2026,"MGT CAPITAL INVESTMENTS, INC. (D)",,https://www.sec.gov/Archives/edgar/data/1001601/000149315226018315/0001493152-26-018315-index.htm
0001005102-26-000001,2026,WEATHERBIE GROWTH FUND LP (D/A),,https://www.sec.gov/Archives/edgar/data/1005102/000100510226000001/0001005102-26-000001-index.htm
0001006045-26-000001,2026,IRIDEX CORP (D/A),,https://www.sec.gov/Archives/edgar/data/1006045/000100604526000001/0001006045-26-000001-index.htm
0001009759-26-000002,2026,"Capstone Green Energy Holdings, Inc. (D)",,https://www.sec.gov/Archives/edgar/data/1009759/000100975926000002/0001009759-26-000002-index.htm
0000929638-26-001510,2026,"GUGGENHEIM SECURITIES, LLC (D)",,https://www.sec.gov/Archives/edgar/data/1009953/000092963826001510/0000929638-26-001510-index.htm
0001014422-26-000004,2026,"TPG Dynamic Credit Income Fund, Ltd. (D/A)",,https://www.sec.gov/Archives/edgar/data/1014422/000101442226000004/0001014422-26-000004-index.htm
0001315863-26-000315,2026,MHR CAPITAL PARTNERS (500) LP (D/A),,https://www.sec.gov/Archives/edgar/data/1019190/000131586326000315/0001315863-26-000315-index.htm
0001315863-26-000390,2026,"NORTHMONT CAPITAL RAVEN FUND, L.P. (D/A)",,https://www.sec.gov/Archives/edgar/data/1031379/000131586326000390/0001315863-26-000390-index.htm
0000919574-26-002284,2026,"Wellington Growth Equity Long/Short Fund, L.P. (D/A)",,https://www.sec.gov/Archives/edgar/data/1031960/000091957426002284/0000919574-26-002284-index.htm
0000945621-26-000600,2026,BELVEDERE CAPITAL FUND CO LLC (D/A),,https://www.sec.gov/Archives/edgar/data/1035602/000094562126000600/0000945621-26-000600-index.htm
0000898432-26-000264,2026,COMMUNITY NATIONAL CORP /TN (D),,https://www.sec.gov/Archives/edgar/data/1042726/000089843226000264/0000898432-26-000264-index.htm
0001045942-26-000002,2026,"Track Group, Inc. (D)",,https://www.sec.gov/Archives/edgar/data/1045942/000104594226000002/0001045942-26-000002-index.htm
0001315863-26-000271,2026,"ZP Utility Fund, L.P. (D/A)",,https://www.sec.gov/Archives/edgar/data/1048758/000131586326000271/0001315863-26-000271-index.htm
0001315863-26-000270,2026,"ZP Offshore Utility Fund, Ltd. (D/A)",,https://www.sec.gov/Archives/edgar/data/1049822/000131586326000270/0001315863-26-000270-index.htm
0001054097-26-000005,2026,MAPATH CAPITAL CORP. (D),,https://www.sec.gov/Archives/edgar/data/1054097/000105409726000005/0001054097-26-000005-index.htm
0001060793-26-000001,2026,SEG PARTNERS L P (D/A),,https://www.sec.gov/Archives/edgar/data/1060793/000106079326000001/0001060793-26-000001-index.htm
0001069232-26-000001,2026,NEUBERGER BERMAN HIGH INCOME FUND LLC (D/A),,https://www.sec.gov/Archives/edgar/data/1069232/000106923226000001/0001069232-26-000001-index.htm
0000935836-26-000210,2026,DRAKES LANDING ASSOCIATES L P (D/A),,https://www.sec.gov/Archives/edgar/data/1075128/000093583626000210/0000935836-26-000210-index.htm
0001075652-26-000003,2026,AXIOM INTERNATIONAL OPPORTUNITY FUND LP (D/A),,https://www.sec.gov/Archives/edgar/data/1075652/000107565226000003/0001075652-26-000003-index.htm
0001104659-26-069996,2026,PACIFIC LIFE INSURANCE CO (D),,https://www.sec.gov/Archives/edgar/data/1080429/000110465926069996/0001104659-26-069996-index.htm
0001084729-26-000001,2026,CONTRAVISORY FUND LP (D/A),,https://www.sec.gov/Archives/edgar/data/1084729/000108472926000001/0001084729-26-000001-index.htm
0001493152-26-020911,2026,"Fabric.AI, Inc. (D)",,https://www.sec.gov/Archives/edgar/data/1086745/000149315226020911/0001493152-26-020911-index.htm
0001104659-26-060202,2026,UNITED BANCSHARES INC/OH (D),,https://www.sec.gov/Archives/edgar/data/1087456/000110465926060202/0001104659-26-060202-index.htm
0001941040-26-000263,2026,IRIDIAN PRIVATE BUSINESS VALUE EQUITY FUND LP (D/A),,https://www.sec.gov/Archives/edgar/data/1088060/000194104026000263/0001941040-26-000263-index.htm
0001088633-26-000005,2026,COMMUNITY DEVELOPMENT TRUST INC (D/A),,https://www.sec.gov/Archives/edgar/data/1088633/000108863326000005/0001088633-26-000005-index.htm
0001091886-26-000001,2026,"POLAR CAPITAL, L. P. (D/A)",,https://www.sec.gov/Archives/edgar/data/1091886/000109188626000001/0001091886-26-000001-index.htm
0000945621-26-000584,2026,EATON VANCE INSTITUTIONAL SENIOR LOAN FUND (D/A),,https://www.sec.gov/Archives/edgar/data/1093610/000094562126000584/0000945621-26-000584-index.htm
0001107982-26-000001,2026,Capital Group Opportunistic Fund LLC (D/A),,https://www.sec.gov/Archives/edgar/data/1107982/000110798226000001/0001107982-26-000001-index.htm
0001999371-26-009298,2026,"CLOUGH INVESTMENT PARTNERS I, L.P. (D/A)",,https://www.sec.gov/Archives/edgar/data/1108843/000199937126009298/0001999371-26-009298-index.htm
0001999371-26-009297,2026,"CLOUGH INVESTMENT PARTNERS II, L.P. (D/A)",,https://www.sec.gov/Archives/edgar/data/1108853/000199937126009297/0001999371-26-009297-index.htm
0001113987-26-000001,2026,"Avalon Worldwide, LP (D/A)",,https://www.sec.gov/Archives/edgar/data/1113987/000111398726000001/0001113987-26-000001-index.htm
0001117101-26-000001,2026,EMPIRICAL CAPITAL PARTNERS LP (D/A),,https://www.sec.gov/Archives/edgar/data/1117101/000111710126000001/0001117101-26-000001-index.htm
0001118329-26-000001,2026,BAUPOST VALUE PARTNERS LP 1 (D/A),,https://www.sec.gov/Archives/edgar/data/1118329/000111832926000001/0001118329-26-000001-index.htm
0001118330-26-000001,2026,BAUPOST VALUE PARTNERS LP II (D/A),,https://www.sec.gov/Archives/edgar/data/1118330/000111833026000001/0001118330-26-000001-index.htm
0001129676-26-000005,2026,LIVINGSTON CAPITAL FUND LP (D),,https://www.sec.gov/Archives/edgar/data/1129676/000112967626000005/0001129676-26-000005-index.htm
0001130708-26-000001,2026,BAUPOST VALUE PARTNERS LP III (D/A),,https://www.sec.gov/Archives/edgar/data/1130708/000113070826000001/0001130708-26-000001-index.htm
0000950103-26-005544,2026,"522 FIFTH AVENUE FUND, L.P. (D)",,https://www.sec.gov/Archives/edgar/data/1131776/000095010326005544/0000950103-26-005544-index.htm
0001132636-26-000006,2026,"Adams Street Associates, L.P. (D)",,https://www.sec.gov/Archives/edgar/data/1132636/000113263626000006/0001132636-26-000006-index.htm
0000950172-26-000148,2026,HOLOWESKO GLOBAL FUND LTD. (D/A),,https://www.sec.gov/Archives/edgar/data/1135665/000095017226000148/0000950172-26-000148-index.htm
0000950172-26-000146,2026,HOLOWESKO GLOBAL FUND LLC (D/A),,https://www.sec.gov/Archives/edgar/data/1135822/000095017226000146/0000950172-26-000146-index.htm
0001135856-26-000004,2026,NATIONWIDE PRIVATE PLACEMENT VARIABLE ACCOUNT (D/A),,https://www.sec.gov/Archives/edgar/data/1135856/000113585626000004/0001135856-26-000004-index.htm
0001104659-26-057827,2026,VECTORMAX Corp (D),,https://www.sec.gov/Archives/edgar/data/1136418/000110465926057827/0001104659-26-057827-index.htm
0001136915-26-000001,2026,1818 PARTNERS LP (D/A),,https://www.sec.gov/Archives/edgar/data/1136915/000113691526000001/0001136915-26-000001-index.htm
0001315863-26-000369,2026,"PRICE FLEX-QP FUND, L.P. (D/A)",,https://www.sec.gov/Archives/edgar/data/1142550/000131586326000369/0001315863-26-000369-index.htm
0000919574-26-002168,2026,"Wellington Financials Absolute Return Fund, L.P. (D/A)",,https://www.sec.gov/Archives/edgar/data/1143494/000091957426002168/0000919574-26-002168-index.htm
0001159279-26-000001,2026,METIS PARTNERS LLC (D/A),,https://www.sec.gov/Archives/edgar/data/1159279/000115927926000001/0001159279-26-000001-index.htm
0000919574-26-002270,2026,"Wellington Biotechnology Long/Short Fund, L.P. (D/A)",,https://www.sec.gov/Archives/edgar/data/1163425/000091957426002270/0000919574-26-002270-index.htm
0001167867-26-000001,2026,GWL REAL ESTATE PLUS L.P. (D/A),,https://www.sec.gov/Archives/edgar/data/1167867/000116786726000001/0001167867-26-000001-index.htm
0001168648-26-000005,2026,"OAKTREE EMPLOYEE INVESTMENT FUND, L.P. (D/A)",,https://www.sec.gov/Archives/edgar/data/1168648/000116864826000005/0001168648-26-000005-index.htm
0001168648-26-000006,2026,"OAKTREE EMPLOYEE INVESTMENT FUND, L.P. (D/A)",,https://www.sec.gov/Archives/edgar/data/1168648/000116864826000006/0001168648-26-000006-index.htm
0000947871-26-000494,2026,TUDOR BVI GLOBAL FUND L.P. (D/A),,https://www.sec.gov/Archives/edgar/data/1172149/000094787126000494/0000947871-26-000494-index.htm
0001181366-26-000001,2026,COUGAR INVESTMENT FUND L L C (D),,https://www.sec.gov/Archives/edgar/data/1181366/000118136626000001/0001181366-26-000001-index.htm
0001206550-26-000004,2026,LOAN CO OF SAN DIEGO A CALIFORNIA LP (D/A),,https://www.sec.gov/Archives/edgar/data/1206550/000120655026000004/0001206550-26-000004-index.htm
0001212598-26-000001,2026,CUSHING FUND LP (D/A),,https://www.sec.gov/Archives/edgar/data/1212598/000121259826000001/0001212598-26-000001-index.htm
0001214047-26-000002,2026,SURGERY CENTERS OF DES MOINES LTD (D/A),,https://www.sec.gov/Archives/edgar/data/1214047/000121404726000002/0001214047-26-000002-index.htm
0001215218-26-000001,2026,SEG PARTNERS II L P (D/A),,https://www.sec.gov/Archives/edgar/data/1215218/000121521826000001/0001215218-26-000001-index.htm
0001216215-26-000001,2026,"Thirteen Partners, LP (D/A)",,https://www.sec.gov/Archives/edgar/data/1216215/000121621526000001/0001216215-26-000001-index.htm
0001219173-26-000001,2026,JUGGERNAUT FUND LP (D/A),,https://www.sec.gov/Archives/edgar/data/1219173/000121917326000001/0001219173-26-000001-index.htm
0001229354-26-000001,2026,GWL USPF Plus LP (D/A),,https://www.sec.gov/Archives/edgar/data/1229354/000122935426000001/0001229354-26-000001-index.htm
0000950142-26-001138,2026,"QXO, Inc. (D)",,https://www.sec.gov/Archives/edgar/data/1236275/000095014226001138/0000950142-26-001138-index.htm
0000919574-26-002537,2026,"Coatue Qualified Partners, L.P. (D/A)",,https://www.sec.gov/Archives/edgar/data/1238492/000091957426002537/0000919574-26-002537-index.htm
0000919574-26-002534,2026,COATUE OFFSHORE FUND LTD (D/A),,https://www.sec.gov/Archives/edgar/data/1238493/000091957426002534/0000919574-26-002534-index.htm
0001253769-26-000001,2026,ACADIAN INTERNATIONAL SMALL CAP FUND (D/A),,https://www.sec.gov/Archives/edgar/data/1253769/000125376926000001/0001253769-26-000001-index.htm
0001013594-26-000495,2026,"FLI Partners Fund, L.P. (D/A)",,https://www.sec.gov/Archives/edgar/data/1260460/000101359426000495/0001013594-26-000495-index.htm
0001999371-26-009296,2026,CLOUGH OFFSHORE FUND LTD (D/A),,https://www.sec.gov/Archives/edgar/data/1265108/000199937126009296/0001999371-26-009296-index.htm
0001267697-26-000001,2026,ACADIAN EMERGING MARKETS EQUITY FUND (D/A),,https://www.sec.gov/Archives/edgar/data/1267697/000126769726000001/0001267697-26-000001-index.htm
0000919574-26-002048,2026,"SEMPER VIC PARTNERS (QP), L. P. (D/A)",,https://www.sec.gov/Archives/edgar/data/1268055/000091957426002048/0000919574-26-002048-index.htm
0001269241-26-000003,2026,GEODE CAPITAL HOLDINGS LLC (D/A),,https://www.sec.gov/Archives/edgar/data/1269241/000126924126000003/0001269241-26-000003-index.htm
0000919574-26-002041,2026,REDWOOD DOMESTIC FUND LP (D/A),,https://www.sec.gov/Archives/edgar/data/1270909/000091957426002041/0000919574-26-002041-index.htm
0001104659-26-039888,2026,TALCOTT RESOLUTION LIFE INSURANCE CO SEPARATE ACCOUNT ICMG SER II D (D/A),,https://www.sec.gov/Archives/edgar/data/1274746/000110465926039888/0001104659-26-039888-index.htm
0001277575-26-000002,2026,SAXON CAPITAL GROUP INC (D),,https://www.sec.gov/Archives/edgar/data/1277575/000127757526000002/0001277575-26-000002-index.htm
0001277575-26-000003,2026,SAXON CAPITAL GROUP INC (D),,https://www.sec.gov/Archives/edgar/data/1277575/000127757526000003/0001277575-26-000003-index.htm
0001283259-26-000002,2026,"BIOVENTRIX, INC. (D)",,https://www.sec.gov/Archives/edgar/data/1283259/000128325926000002/0001283259-26-000002-index.htm
0000912282-26-000578,2026,ABACUS MINING & EXPLORATION CORP (D/A),,https://www.sec.gov/Archives/edgar/data/1284237/000091228226000578/0000912282-26-000578-index.htm
0001477932-26-002533,2026,AI Technology Group Inc. (D),,https://www.sec.gov/Archives/edgar/data/1289047/000147793226002533/0001477932-26-002533-index.htm
0001289223-26-000003,2026,"Newport Gold, Inc. (D)",,https://www.sec.gov/Archives/edgar/data/1289223/000128922326000003/0001289223-26-000003-index.htm
0001315863-26-000370,2026,"PRICE FLEX QUALIFIED FUND, L.P. (D/A)",,https://www.sec.gov/Archives/edgar/data/1290873/000131586326000370/0001315863-26-000370-index.htm
0001292296-26-000001,2026,CADMAN GLOBAL LLC (D/A),,https://www.sec.gov/Archives/edgar/data/1292296/000129229626000001/0001292296-26-000001-index.htm
0000919574-26-002493,2026,Chatham Asset Partners High Yield Fund LP (D/A),,https://www.sec.gov/Archives/edgar/data/1296063/000091957426002493/0000919574-26-002493-index.htm
0001296577-26-000003,2026,"Concise Short-Term High Yield Onshore Fund, LLC (D/A)",,https://www.sec.gov/Archives/edgar/data/1296577/000129657726000003/0001296577-26-000003-index.htm
0001296611-26-000002,2026,"Concise Short-Term High Yield Offshore Fund, SPC (D/A)",,https://www.sec.gov/Archives/edgar/data/1296611/000129661126000002/0001296611-26-000002-index.htm
0001298307-26-000001,2026,"WESTERN ASSET TOTAL RETURN UNCONSTRAINED (TRU) BOND, L.L.C. (D/A)",,https://www.sec.gov/Archives/edgar/data/1298307/000129830726000001/0001298307-26-000001-index.htm
0002081111-26-000086,2026,LSV International Value Equity Trust (D/A),,https://www.sec.gov/Archives/edgar/data/1300505/000208111126000086/0002081111-26-000086-index.htm
0001301204-26-000002,2026,"Chalkstream Investment Fund, L.P. (D/A)",,https://www.sec.gov/Archives/edgar/data/1301204/000130120426000002/0001301204-26-000002-index.htm
