ptr_id,year,member,class,source_url
0001213900-26-066446,2026,CHELLGREN PAUL W (3),,https://www.sec.gov/Archives/edgar/data/1023533/000121390026066446/0001213900-26-066446-index.htm
0001048911-26-000044,2026,FEDEX CORP (3),,https://www.sec.gov/Archives/edgar/data/1048911/000104891126000044/0001048911-26-000044-index.htm
0001213900-26-066441,2026,ROTHSCHILD NATHANIEL PVJ (3),,https://www.sec.gov/Archives/edgar/data/1157385/000121390026066441/0001213900-26-066441-index.htm
0001213900-26-066447,2026,MUNOZ GEORGE (3),,https://www.sec.gov/Archives/edgar/data/1238129/000121390026066447/0001213900-26-066447-index.htm
0001493152-26-027684,2026,Violette Todd A (3),,https://www.sec.gov/Archives/edgar/data/1259185/000149315226027684/0001493152-26-027684-index.htm
0001193125-26-262209,2026,Muller Eric D. (3),,https://www.sec.gov/Archives/edgar/data/1363807/000119312526262209/0001193125-26-262209-index.htm
0002136728-26-000001,2026,EDENOR (3),,https://www.sec.gov/Archives/edgar/data/1395213/000213672826000001/0002136728-26-000001-index.htm
0001549864-26-000003,2026,"OPENLANE, Inc. (3)",,https://www.sec.gov/Archives/edgar/data/1395942/000154986426000003/0001549864-26-000003-index.htm
0001193125-26-261930,2026,GRAPHIC PACKAGING HOLDING CO (3),,https://www.sec.gov/Archives/edgar/data/1408075/000119312526261930/0001193125-26-261930-index.htm
0001437749-26-019849,2026,GUERRA DONNA T. (3),,https://www.sec.gov/Archives/edgar/data/1453461/000143774926019849/0001437749-26-019849-index.htm
0001475597-26-000059,2026,HRT FINANCIAL LP (3),,https://www.sec.gov/Archives/edgar/data/1475597/000147559726000059/0001475597-26-000059-index.htm
0000874015-26-000200,2026,HANTSON LUDWIG (3),,https://www.sec.gov/Archives/edgar/data/1491435/000087401526000200/0000874015-26-000200-index.htm
0002139260-26-000002,2026,BrandywineGLOBAL-Global Income Opportunities Fund Inc (3),,https://www.sec.gov/Archives/edgar/data/1504545/000213926026000002/0002139260-26-000002-index.htm
0001806201-26-000051,2026,Cavin William Dabbs (3),,https://www.sec.gov/Archives/edgar/data/1519989/000180620126000051/0001806201-26-000051-index.htm
0001193125-26-262181,2026,Morgan Jonathan (3),,https://www.sec.gov/Archives/edgar/data/1587373/000119312526262181/0001193125-26-262181-index.htm
0001193125-26-262220,2026,Winer Andrew (3),,https://www.sec.gov/Archives/edgar/data/1606560/000119312526262220/0001193125-26-262220-index.htm
0002137948-26-000005,2026,Restaurant Brands International Inc. (3),,https://www.sec.gov/Archives/edgar/data/1618756/000213794826000005/0002137948-26-000005-index.htm
0001626763-26-000003,2026,Da Santos Bernerd (3),,https://www.sec.gov/Archives/edgar/data/1626763/000162676326000003/0001626763-26-000003-index.htm
0000726958-26-000028,2026,SUTULA STANLEY J III (3),,https://www.sec.gov/Archives/edgar/data/1629897/000072695826000028/0000726958-26-000028-index.htm
0001820365-26-000004,2026,"Cue Biopharma, Inc. (3)",,https://www.sec.gov/Archives/edgar/data/1645460/000182036526000004/0001820365-26-000004-index.htm
0000905148-26-002825,2026,Zai Lab Ltd (3),,https://www.sec.gov/Archives/edgar/data/1704292/000090514826002825/0000905148-26-002825-index.htm
0000874015-26-000201,2026,Reikes Peter N (3),,https://www.sec.gov/Archives/edgar/data/1753652/000087401526000201/0000874015-26-000201-index.htm
0001193125-26-262263,2026,Manoff Mark Jeffrey (3),,https://www.sec.gov/Archives/edgar/data/1765246/000119312526262263/0001193125-26-262263-index.htm
0001213900-26-066232,2026,Long Matthew A. (3),,https://www.sec.gov/Archives/edgar/data/1823919/000121390026066232/0001213900-26-066232-index.htm
0000897069-26-001331,2026,"Dream Finders Homes, Inc. (3)",,https://www.sec.gov/Archives/edgar/data/1825088/000089706926001331/0000897069-26-001331-index.htm
0001834376-26-000029,2026,InnovAge Holding Corp. (3),,https://www.sec.gov/Archives/edgar/data/1834376/000183437626000029/0001834376-26-000029-index.htm
0000896622-26-000136,2026,Gandhi Aditya (3),,https://www.sec.gov/Archives/edgar/data/1942071/000089662226000136/0000896622-26-000136-index.htm
0001193125-26-262248,2026,Burke Kathleen M. (3),,https://www.sec.gov/Archives/edgar/data/1961434/000119312526262248/0001193125-26-262248-index.htm
0001193125-26-261697,2026,Marex Group plc (3),,https://www.sec.gov/Archives/edgar/data/1997464/000119312526261697/0001193125-26-261697-index.htm
0001213900-26-066209,2026,"Cellyan Biotechnology Co., Ltd (3)",,https://www.sec.gov/Archives/edgar/data/2007702/000121390026066209/0001213900-26-066209-index.htm
0001213900-26-066211,2026,"Cellyan Biotechnology Co., Ltd (3)",,https://www.sec.gov/Archives/edgar/data/2007702/000121390026066211/0001213900-26-066211-index.htm
0001213900-26-066213,2026,"Cellyan Biotechnology Co., Ltd (3)",,https://www.sec.gov/Archives/edgar/data/2007702/000121390026066213/0001213900-26-066213-index.htm
0001213900-26-066214,2026,"Cellyan Biotechnology Co., Ltd (3)",,https://www.sec.gov/Archives/edgar/data/2007702/000121390026066214/0001213900-26-066214-index.htm
0002139245-26-000002,2026,Franklin Lexington Private Markets Fund (3),,https://www.sec.gov/Archives/edgar/data/2008602/000213924526000002/0002139245-26-000002-index.htm
0002010725-26-000004,2026,McGee Grant B (3),,https://www.sec.gov/Archives/edgar/data/2010725/000201072526000004/0002010725-26-000004-index.htm
0001493152-26-027718,2026,Safe Pro Group Inc. (3),,https://www.sec.gov/Archives/edgar/data/2011208/000149315226027718/0001493152-26-027718-index.htm
0001193125-26-262275,2026,OHA DIRECT CREDIT FUND (3),,https://www.sec.gov/Archives/edgar/data/2097023/000119312526262275/0001193125-26-262275-index.htm
0001193125-26-260892,2026,SEMERARO FABRIZIO (3),,https://www.sec.gov/Archives/edgar/data/2119770/000119312526260892/0001193125-26-260892-index.htm
0001193125-26-260897,2026,RICCHIUTI DOMENICO (3),,https://www.sec.gov/Archives/edgar/data/2119802/000119312526260897/0001193125-26-260897-index.htm
0001193125-26-260900,2026,RELLA ROCCO (3),,https://www.sec.gov/Archives/edgar/data/2119806/000119312526260900/0001193125-26-260900-index.htm
0001193125-26-260901,2026,Pasqualicchio Raffaele (3),,https://www.sec.gov/Archives/edgar/data/2119841/000119312526260901/0001193125-26-260901-index.htm
0001193125-26-260890,2026,AMENDOLA FRANCESCO SAVERIO (3),,https://www.sec.gov/Archives/edgar/data/2119843/000119312526260890/0001193125-26-260890-index.htm
0001193125-26-260912,2026,Natuzzi Pasquale Junior (3),,https://www.sec.gov/Archives/edgar/data/2119861/000119312526260912/0001193125-26-260912-index.htm
0001193125-26-260911,2026,MUSELLA ALESSANDRO (3),,https://www.sec.gov/Archives/edgar/data/2119872/000119312526260911/0001193125-26-260911-index.htm
0001193125-26-260915,2026,CANEVA MARCO (3),,https://www.sec.gov/Archives/edgar/data/2119887/000119312526260915/0001193125-26-260915-index.htm
0001193125-26-260916,2026,BONAN GILLES (3),,https://www.sec.gov/Archives/edgar/data/2119888/000119312526260916/0001193125-26-260916-index.htm
0001193125-26-260886,2026,COROAMA CODRIN CONSTANTIN (3),,https://www.sec.gov/Archives/edgar/data/2119891/000119312526260886/0001193125-26-260886-index.htm
0001193125-26-260899,2026,Ciccarone Cosimina (3),,https://www.sec.gov/Archives/edgar/data/2119896/000119312526260899/0001193125-26-260899-index.htm
0001193125-26-260891,2026,SILVESTRI CARLO (3),,https://www.sec.gov/Archives/edgar/data/2120110/000119312526260891/0001193125-26-260891-index.htm
0001193125-26-260898,2026,BABBO DIEGO (3),,https://www.sec.gov/Archives/edgar/data/2120111/000119312526260898/0001193125-26-260898-index.htm
0001193125-26-260888,2026,SCARAMUZZO MARILENA (3),,https://www.sec.gov/Archives/edgar/data/2120112/000119312526260888/0001193125-26-260888-index.htm
0001193125-26-260880,2026,CACCIAPAGLIA GIUSEPPE (3),,https://www.sec.gov/Archives/edgar/data/2120113/000119312526260880/0001193125-26-260880-index.htm
0001193125-26-260889,2026,MILANO OTTAVIO (3),,https://www.sec.gov/Archives/edgar/data/2120114/000119312526260889/0001193125-26-260889-index.htm
0001193125-26-260910,2026,CHRISTENSEN JUSTIN (3),,https://www.sec.gov/Archives/edgar/data/2120115/000119312526260910/0001193125-26-260910-index.htm
0001193125-26-260902,2026,WORKMAN DAVID (3),,https://www.sec.gov/Archives/edgar/data/2120116/000119312526260902/0001193125-26-260902-index.htm
0001193125-26-260887,2026,TRANCHINI DANIELE (3),,https://www.sec.gov/Archives/edgar/data/2120117/000119312526260887/0001193125-26-260887-index.htm
0001193125-26-260896,2026,INTERNULLO NICOLA (3),,https://www.sec.gov/Archives/edgar/data/2120119/000119312526260896/0001193125-26-260896-index.htm
0001193125-26-260885,2026,CASONE DANIELE ALESSANDRO (3),,https://www.sec.gov/Archives/edgar/data/2120120/000119312526260885/0001193125-26-260885-index.htm
0001193125-26-260917,2026,LABRIOLA PIETRO (3),,https://www.sec.gov/Archives/edgar/data/2120121/000119312526260917/0001193125-26-260917-index.htm
0001213900-26-066435,2026,Snow Rothschild Acquisition Corp. (3),,https://www.sec.gov/Archives/edgar/data/2123475/000121390026066435/0001213900-26-066435-index.htm
0001213900-26-066443,2026,Snow Rothschild Acquisition Corp. (3),,https://www.sec.gov/Archives/edgar/data/2123475/000121390026066443/0001213900-26-066443-index.htm
