ptr_id,year,member,class,source_url
0001752724-24-045385,2024,FIRST EAGLE VARIABLE FUNDS (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1000249/000175272424045385/0001752724-24-045385-index.htm
0001145549-24-007159,2024,LEUTHOLD FUNDS INC (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1000351/000114554924007159/0001145549-24-007159-index.htm
0001145549-24-007160,2024,LEUTHOLD FUNDS INC (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1000351/000114554924007160/0001145549-24-007160-index.htm
0001145549-24-007161,2024,LEUTHOLD FUNDS INC (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1000351/000114554924007161/0001145549-24-007161-index.htm
0001145549-24-007162,2024,LEUTHOLD FUNDS INC (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1000351/000114554924007162/0001145549-24-007162-index.htm
0001145549-24-007163,2024,LEUTHOLD FUNDS INC (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1000351/000114554924007163/0001145549-24-007163-index.htm
0001752724-24-044956,2024,Morgan Stanley Insight Fund (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1002427/000175272424044956/0001752724-24-044956-index.htm
0001145549-24-010637,2024,NEEDHAM FUNDS INC (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1002537/000114554924010637/0001145549-24-010637-index.htm
0001145549-24-010638,2024,NEEDHAM FUNDS INC (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1002537/000114554924010638/0001145549-24-010638-index.htm
0001145549-24-010639,2024,NEEDHAM FUNDS INC (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1002537/000114554924010639/0001145549-24-010639-index.htm
0001002624-24-000007,2024,"T. Rowe Price Health Sciences Fund, Inc. (NPORT-P)",,https://www.sec.gov/Archives/edgar/data/1002624/000100262424000007/0001002624-24-000007-index.htm
0001752724-24-019634,2024,TAX-MANAGED GROWTH PORTFOLIO (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1002667/000175272424019634/0001752724-24-019634-index.htm
0001752724-24-043411,2024,SEASONS SERIES TRUST (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1003239/000175272424043411/0001752724-24-043411-index.htm
0001752724-24-043412,2024,SEASONS SERIES TRUST (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1003239/000175272424043412/0001752724-24-043412-index.htm
0001752724-24-043413,2024,SEASONS SERIES TRUST (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1003239/000175272424043413/0001752724-24-043413-index.htm
0001752724-24-043414,2024,SEASONS SERIES TRUST (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1003239/000175272424043414/0001752724-24-043414-index.htm
0001752724-24-043415,2024,SEASONS SERIES TRUST (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1003239/000175272424043415/0001752724-24-043415-index.htm
0001752724-24-043416,2024,SEASONS SERIES TRUST (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1003239/000175272424043416/0001752724-24-043416-index.htm
0001752724-24-043417,2024,SEASONS SERIES TRUST (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1003239/000175272424043417/0001752724-24-043417-index.htm
0001752724-24-043418,2024,SEASONS SERIES TRUST (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1003239/000175272424043418/0001752724-24-043418-index.htm
0001752724-24-043419,2024,SEASONS SERIES TRUST (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1003239/000175272424043419/0001752724-24-043419-index.htm
0001752724-24-043420,2024,SEASONS SERIES TRUST (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1003239/000175272424043420/0001752724-24-043420-index.htm
0001752724-24-043421,2024,SEASONS SERIES TRUST (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1003239/000175272424043421/0001752724-24-043421-index.htm
0001752724-24-043422,2024,SEASONS SERIES TRUST (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1003239/000175272424043422/0001752724-24-043422-index.htm
0001752724-24-043423,2024,SEASONS SERIES TRUST (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1003239/000175272424043423/0001752724-24-043423-index.htm
0001752724-24-043424,2024,SEASONS SERIES TRUST (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1003239/000175272424043424/0001752724-24-043424-index.htm
0001752724-24-043425,2024,SEASONS SERIES TRUST (NPORT-P),,https://www.sec.gov/Archives/edgar/data/1003239/000175272424043425/0001752724-24-043425-index.htm
