ptr_id,year,member,class,source_url
0000950144-00-015358,2001,GERALD STEVENS INC/ (S-1),,https://www.sec.gov/Archives/edgar/data/37525/000095014400015358/0000950144-00-015358-index.htm
0001045969-00-001037,2001,MGI PHARMA INC (S-3/A),,https://www.sec.gov/Archives/edgar/data/702131/000104596900001037/0001045969-00-001037-index.htm
0000916641-01-500604,2001,OPTICAL CABLE CORP (S-1),,https://www.sec.gov/Archives/edgar/data/1000230/000091664101500604/0000916641-01-500604-index.htm
0001021408-01-502350,2001,IMPAC MORTGAGE HOLDINGS INC (S-3),,https://www.sec.gov/Archives/edgar/data/1000298/000102140801502350/0001021408-01-502350-index.htm
0000950134-01-503758,2001,ILEX ONCOLOGY INC (S-3/A),,https://www.sec.gov/Archives/edgar/data/1001915/000095013401503758/0000950134-01-503758-index.htm
0000950144-01-503653,2001,DALEEN TECHNOLOGIES INC (S-3/A),,https://www.sec.gov/Archives/edgar/data/1002658/000095014401503653/0000950144-01-503653-index.htm
0000912057-01-520082,2001,AFFILIATED MANAGERS GROUP INC (S-3/A),,https://www.sec.gov/Archives/edgar/data/1004434/000091205701520082/0000912057-01-520082-index.htm
0001019687-01-500386,2001,VENDINGDATA CORP (S-3),,https://www.sec.gov/Archives/edgar/data/1004673/000101968701500386/0001019687-01-500386-index.htm
0000930661-01-500844,2001,ELECTRONIC DATA SYSTEMS CORP /DE/ (S-3),,https://www.sec.gov/Archives/edgar/data/1007456/000093066101500844/0000930661-01-500844-index.htm
0001007587-01-500019,2001,KVH INDUSTRIES INC \DE\ (S-3/A),,https://www.sec.gov/Archives/edgar/data/1007587/000100758701500019/0001007587-01-500019-index.htm
0001007587-01-500022,2001,KVH INDUSTRIES INC \DE\ (S-3/A),,https://www.sec.gov/Archives/edgar/data/1007587/000100758701500022/0001007587-01-500022-index.htm
0001007587-01-500029,2001,KVH INDUSTRIES INC \DE\ (S-3),,https://www.sec.gov/Archives/edgar/data/1007587/000100758701500029/0001007587-01-500029-index.htm
0000950130-01-502238,2001,UNION PACIFIC CORP (S-3),,https://www.sec.gov/Archives/edgar/data/100885/000095013001502238/0000950130-01-502238-index.htm
0000912057-01-520872,2001,PRIMIX (S-3),,https://www.sec.gov/Archives/edgar/data/1011255/000091205701520872/0000912057-01-520872-index.htm
0000928385-01-501043,2001,WELLS FARGO ASSET SECURITIES CORP (S-3),,https://www.sec.gov/Archives/edgar/data/1011663/000092838501501043/0000928385-01-501043-index.htm
