ptr_id,year,member,class,source_url
0000893220-00-001450,2001,SIERRACITIES COM INC (SC TO-T/A),,https://www.sec.gov/Archives/edgar/data/1034812/000089322000001450/0000893220-00-001450-index.htm
0001019892-04-000354,2004,RSI HOLDINGS INC (SC TO-T/A),,https://www.sec.gov/Archives/edgar/data/853697/000101989204000354/0001019892-04-000354-index.htm
0001019892-04-000372,2004,RSI HOLDINGS INC (SC TO-T/A),,https://www.sec.gov/Archives/edgar/data/853697/000101989204000372/0001019892-04-000372-index.htm
0001019892-05-000029,2005,RSI HOLDINGS INC (SC TO-T/A),,https://www.sec.gov/Archives/edgar/data/853697/000101989205000029/0001019892-05-000029-index.htm
0000099106-06-000005,2006,TRANS LUX CORP (SC TO-I/A),,https://www.sec.gov/Archives/edgar/data/99106/000009910606000005/0000099106-06-000005-index.htm
0000099106-06-000006,2006,TRANS LUX CORP (SC TO-I/A),,https://www.sec.gov/Archives/edgar/data/99106/000009910606000006/0000099106-06-000006-index.htm
0000099106-06-000002,2006,TRANS LUX CORP (SC TO-I),,https://www.sec.gov/Archives/edgar/data/99106/000009910606000002/0000099106-06-000002-index.htm
0001140361-06-007930,2006,DICON FIBEROPTICS INC (SC TO-I),,https://www.sec.gov/Archives/edgar/data/1119012/000114036106007930/0001140361-06-007930-index.htm
0001193125-07-216280,2007,"Summer Infant, Inc. (SC TO-I)",,https://www.sec.gov/Archives/edgar/data/1314772/000119312507216280/0001193125-07-216280-index.htm
0001116502-08-000062,2008,CHINA NATURAL RESOURCES INC (SC TO-I/A),,https://www.sec.gov/Archives/edgar/data/793628/000111650208000062/0001116502-08-000062-index.htm
0001116502-08-000059,2008,SILICON STORAGE TECHNOLOGY INC (SC TO-I/A),,https://www.sec.gov/Archives/edgar/data/855906/000111650208000059/0001116502-08-000059-index.htm
0001413464-08-000072,2008,"Smart Energy Solutions, Inc. (SC TO-I)",,https://www.sec.gov/Archives/edgar/data/1086082/000141346408000072/0001413464-08-000072-index.htm
0000950133-08-002856,2008,WILLIAMS INDUSTRIES INC (SC TO-I/A),,https://www.sec.gov/Archives/edgar/data/107294/000095013308002856/0000950133-08-002856-index.htm
0000950133-08-002366,2008,WILLIAMS INDUSTRIES INC (SC TO-I),,https://www.sec.gov/Archives/edgar/data/107294/000095013308002366/0000950133-08-002366-index.htm
0000950123-09-038421,2009,REVLON INC /DE/ (SC TO-I/A),,https://www.sec.gov/Archives/edgar/data/887921/000095012309038421/0000950123-09-038421-index.htm
0000950123-09-050637,2009,Greenville Federal Financial CORP (SC TO-I/A),,https://www.sec.gov/Archives/edgar/data/1330365/000095012309050637/0000950123-09-050637-index.htm
0001019056-10-000334,2010,TRUDY CORP (SC TO-I),,https://www.sec.gov/Archives/edgar/data/815098/000101905610000334/0001019056-10-000334-index.htm
0001489138-10-000002,2010,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC. (SC TO-I/A)",,https://www.sec.gov/Archives/edgar/data/1069258/000148913810000002/0001489138-10-000002-index.htm
0001019056-10-000835,2010,TRUDY CORP (SC TO-T/A),,https://www.sec.gov/Archives/edgar/data/815098/000101905610000835/0001019056-10-000835-index.htm
0001019056-10-000953,2010,TRUDY CORP (SC TO-T/A),,https://www.sec.gov/Archives/edgar/data/815098/000101905610000953/0001019056-10-000953-index.htm
0001041885-11-000007,2011,ALSERES PHARMACEUTICALS INC /DE (SC TO-I/A),,https://www.sec.gov/Archives/edgar/data/94784/000104188511000007/0001041885-11-000007-index.htm
0001207017-11-000108,2011,TAIWAN FUND INC (SC TO-I/A),,https://www.sec.gov/Archives/edgar/data/804123/000120701711000108/0001207017-11-000108-index.htm
0001513162-12-000007,2012,"THESTREET, INC. (SC TO-I/A)",,https://www.sec.gov/Archives/edgar/data/1080056/000151316212000007/0001513162-12-000007-index.htm
0001144204-14-019633,2014,Cole Credit Property Trust Inc (SC TO-T),,https://www.sec.gov/Archives/edgar/data/1289272/000114420414019633/0001144204-14-019633-index.htm
0001144204-14-022226,2014,Cole Credit Property Trust Inc (SC TO-T/A),,https://www.sec.gov/Archives/edgar/data/1289272/000114420414022226/0001144204-14-022226-index.htm
0001319171-14-000009,2014,INTERNATIONAL BALER CORP (SC TO-I),,https://www.sec.gov/Archives/edgar/data/781902/000131917114000009/0001319171-14-000009-index.htm
0001260415-15-000015,2015,DYNASIL CORP OF AMERICA (SC TO-I),,https://www.sec.gov/Archives/edgar/data/30831/000126041515000015/0001260415-15-000015-index.htm
0001582244-16-000153,2016,Corning Natural Gas Holding Corp (SC TO-T/A),,https://www.sec.gov/Archives/edgar/data/1582244/000158224416000153/0001582244-16-000153-index.htm
0001058854-19-000051,2019,"LEE ENTERPRISES, INC (SC TO-I/A)",,https://www.sec.gov/Archives/edgar/data/58361/000105885419000051/0001058854-19-000051-index.htm
0001622627-22-000003,2022,"DELCATH SYSTEMS, INC. (SC TO-T/A)",,https://www.sec.gov/Archives/edgar/data/872912/000162262722000003/0001622627-22-000003-index.htm
0001622627-22-000012,2022,"DELCATH SYSTEMS, INC. (SC TO-I)",,https://www.sec.gov/Archives/edgar/data/872912/000162262722000012/0001622627-22-000012-index.htm
